siteID,siteName,latitude,longitude,temperature,depth,pH,salinity,SpC,turbidity,flouride,chloride,nitrite,nitrate,bromide,phosphate,sulfate,calcium,magnesium,sodium,potassium,Total Corals,Recruit,Unidentified,Acropora cervicornis,Acropora palmata,Montastraea annularis,Montastraea cavernosa,Diploria labyrnthiformis,Diploria strigosa,Colpophyllia natans,Dendrogyra cylindrus,Agaricia agaricites,Agaricia,Porites porites,Porites astreoides,Millepora,Meandrina meandrites,Favia fragum,Dichocoenia stokesi,Stephanocoenia intersepta,Madracis mirabilis,Solenastrea
23,Andrea I,12.188233,-68.296983,84,29,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
24,Petries Pillar,12.18195,-68.294517,81.25,19.333,8,37.571,55.533,0,1.002,28695.5,,5.125,64.943,,2702.15,576.875,1553.875,11262.5,526.625,8,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0
32,Something Special,12.161133,-68.28325,82.667,13.333,8,36.688,54.5,0,2.728,28959.444,,2,62.525,1.02,2719.978,540.333,1483.667,10988.889,461.556,54,5,0,0,0,0,4,18,8,2,0,0,7,0,3,3,0,2,2,0,0,0
36,Windsock,12.1327,-68.282983,80.8,29.8,8,37,54.6,0,2.007,22897.75,116.8,3.95,56.325,,2089.25,528.5,1329,11625,476.75,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0
37,North Belnem,12.130883,-68.284667,81.75,17.875,8,37.25,54.567,0,1.633,23171.714,,12.775,52.971,,2406.714,565.875,1476.75,10350,473,35,6,0,0,0,0,0,2,2,1,0,0,14,0,5,3,0,0,1,0,0,1
38,Bachelor's Beach,12.125533,-68.287317,81.25,19,8,36.929,54.7,0,1.317,27180.25,,8.733,62.52,0.3,2684.375,576.25,1570,10981.25,509,27,0,0,0,0,0,0,1,0,0,0,0,1,0,3,8,0,7,7,0,0,0
39,Chez Hines,12.120427,-68.293393,80,15,,,,,,,,,,,,,,,,23,0,0,0,0,0,0,8,3,0,0,0,8,0,1,0,0,0,3,0,0,0
40,Lighthouse Point,12.11449,-68.29558,81.75,18.5,8,36.857,54.3,0,1.664,26865.125,5.8,16.425,69.98,,2678.125,552.625,1445.875,10700,481.75,70,5,0,0,0,0,4,33,4,3,0,0,1,0,3,0,0,5,12,0,0,0
41,Punt Vierkant,12.108783,-68.2915,81.333,23.111,8,36.714,54.667,0,0.773,27829.556,43.6,5.844,75.233,0.86,2534.044,560.111,1466.889,10844.444,488.889,37,9,0,0,0,0,0,3,1,0,0,0,18,0,2,4,0,0,0,0,0,0
42,The Lake,12.107033,-68.290333,82,17,,,,,,,,,,,,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
44,Angel City,12.103383,-68.287217,81.75,18.5,8,36.714,54.567,0,0.44,25689,70.77,26.277,55.433,0.8,2252.75,524.875,1277.125,10268.75,444.25,43,15,0,0,0,1,2,1,1,0,0,0,19,1,1,1,1,0,0,0,0,0
45,Alice in Wonderland,12.10475,-68.2888,81.444,18.667,8,36.857,54.567,0,1.5,28191.111,56.32,12.567,58.938,0.57,2657.133,556.889,1407,9494.444,459.556,37,9,0,0,0,0,0,4,0,0,0,0,8,0,1,10,0,1,4,0,0,0
48,Jeannie's Glory,12.08995,-68.28265,81,23.5,8,37,54,0,1.15,25587,2.3,20.9,62.9,,2267.5,518.5,1358.5,9900,443,63,0,0,0,0,0,0,25,3,0,0,0,21,1,7,0,0,2,4,0,0,0
50,Salt City,12.08245,-68.281717,80.889,26.667,7.938,37.143,54.633,0,0.768,27666.889,0.82,6.725,51.829,,2537.356,585.556,1435.778,10188.889,484.222,22,6,0,0,0,1,0,7,0,0,0,0,4,0,0,3,1,0,0,0,0,0
51,Invisibles,12.063217,-68.2829,82,21,,,,,,,,,,,,,,,,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
52,Tori's Reef,12.070367,-68.28075,82,25,,,,,,,,,,,,,,,,7,1,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Pink Beach,12.062967,-68.28185,82,17.222,7.875,37.286,54.4,0,1.11,28317.444,,3.625,65.571,,2677.956,550.778,1449.444,10338.889,457.556,20,6,0,0,0,0,2,1,0,0,0,0,8,0,1,1,0,0,0,0,0,1
60,Red Slave,12.0264,-68.251733,81.5,23.5,7.929,37.167,54.467,0,1.604,24927.75,,18.65,35.829,1.48,2346.225,599.75,1481.625,12075,500.875,37,6,0,0,0,0,1,2,1,1,0,0,7,0,2,5,0,3,9,0,0,0
A,No Name Beach,12.16926298,-68.30452098,81.5,20.5,8,36.75,53.933,0,1.52,22534,,40.1,57.66,,2166.857,474.286,1376,11578.571,499.571,126,48,12,0,0,0,0,13,1,1,0,0,15,0,8,3,1,12,12,0,0,0
G,Bonaventure,12.143785,-68.303632,80.5,21,8,36.75,,0,0.77,23900.667,,13.2,66.467,,2408.333,407.667,1098.667,6800,389.667,13,0,0,0,0,0,0,3,0,0,2,0,7,0,1,0,0,0,0,0,0,0
I,Rock Pile,12.14722778,-68.30869722,81.429,23.286,8,36.857,54.35,0,0.95,23444.833,,4.05,62.94,,2124.167,519.833,1366.167,9166.667,449.5,36,17,0,0,0,1,0,2,0,0,0,0,15,0,0,0,0,0,1,0,0,0
K,Capt Don's Reef,12.14518,-68.314718,80,15,,,,,,,,,,,,,,,,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R,Sharon's Serenity,12.15611111,-68.3275,80,28,,,,,,,,,,,,,,,,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
V,Carl's Hill,12.16456443,-68.32323207,81.5,26.625,8,37,54.267,0,1.341,23815.143,,2.45,42.914,,2287,524.857,1440.286,11507.143,488.714,10,1,0,0,0,0,1,0,0,0,0,0,6,1,0,0,1,0,0,0,0,0
